pin,slack
led_o_obuf[1]/U_IOTRI:D,
led_o_obuf[1]/U_IOTRI:DOUT,
led_o_obuf[1]/U_IOTRI:EOUT,
counter_cry[21]:B,17936
counter_cry[21]:CC,17774
counter_cry[21]:P,17936
counter_cry[21]:S,17774
counter_cry[21]:Y3,
counter_cry[21]:Y3A,
counter_cry[18]:B,17864
counter_cry[18]:CC,17799
counter_cry[18]:P,17864
counter_cry[18]:S,17799
counter_cry[18]:Y3,
counter_cry[18]:Y3A,
counter_cry[22]:B,17893
counter_cry[22]:CC,17720
counter_cry[22]:P,17893
counter_cry[22]:S,17720
counter_cry[22]:Y3,
counter_cry[22]:Y3A,
counter[24]:ALn,
counter[24]:CLK,17897
counter[24]:D,17746
counter[24]:Q,17897
counter[17]:ALn,
counter[17]:CLK,17894
counter[17]:D,17743
counter[17]:Q,17894
counter[2]:ALn,
counter[2]:CLK,17724
counter[2]:D,18088
counter[2]:Q,17724
led_o_obuf[0]/U_IOPAD:D,
led_o_obuf[0]/U_IOPAD:E,
led_o_obuf[0]/U_IOPAD:PAD,
counter[7]:ALn,
counter[7]:CLK,17729
counter[7]:D,17854
counter[7]:Q,17729
counter_cry[15]:B,17876
counter_cry[15]:CC,17823
counter_cry[15]:P,17876
counter_cry[15]:S,17823
counter_cry[15]:Y3,
counter_cry[15]:Y3A,
counter_cry[26]:B,17918
counter_cry[26]:CC,17666
counter_cry[26]:P,17918
counter_cry[26]:S,17666
counter_cry[26]:Y3,
counter_cry[26]:Y3A,
counter_RNO[0]:A,18366
counter_RNO[0]:Y,18366
counter_cry[20]:B,17887
counter_cry[20]:CC,17717
counter_cry[20]:P,17887
counter_cry[20]:S,17717
counter_cry[20]:Y3,
counter_cry[20]:Y3A,
counter[6]:ALn,
counter[6]:CLK,17760
counter[6]:D,17900
counter[6]:Q,17760
counter_cry[13]:B,17743
counter_cry[13]:CC,17804
counter_cry[13]:P,17743
counter_cry[13]:S,17804
counter_cry[13]:Y3,
counter_cry[13]:Y3A,
clk_i_ibuf/U_IOIN:Y,
clk_i_ibuf/U_IOIN:YIN,
led_o_obuf[7]/U_IOTRI:D,
led_o_obuf[7]/U_IOTRI:DOUT,
led_o_obuf[7]/U_IOTRI:EOUT,
counter_cry[27]:B,18077
counter_cry[27]:CC,17719
counter_cry[27]:P,18077
counter_cry[27]:S,17719
counter_cry[27]:Y3,
counter_cry[27]:Y3A,
counter[8]:ALn,
counter[8]:CLK,17783
counter[8]:D,17819
counter[8]:Q,17783
counter[22]:ALn,
counter[22]:CLK,17893
counter[22]:D,17720
counter[22]:Q,17893
led_o_obuf[2]/U_IOPAD:D,
led_o_obuf[2]/U_IOPAD:E,
led_o_obuf[2]/U_IOPAD:PAD,
counter[16]:ALn,
counter[16]:CLK,17816
counter[16]:D,17772
counter[16]:Q,17816
counter_s[29]:B,18208
counter_s[29]:CC,17639
counter_s[29]:P,
counter_s[29]:S,17639
counter_s[29]:Y3,
counter_s[29]:Y3A,
led_o_obuf[3]/U_IOPAD:D,
led_o_obuf[3]/U_IOPAD:E,
led_o_obuf[3]/U_IOPAD:PAD,
counter_cry[6]:B,17760
counter_cry[6]:CC,17900
counter_cry[6]:P,17760
counter_cry[6]:S,17900
counter_cry[6]:Y3,
counter_cry[6]:Y3A,
counter[15]:ALn,
counter[15]:CLK,17876
counter[15]:D,17823
counter[15]:Q,17876
led_o_obuf[7]/U_IOPAD:D,
led_o_obuf[7]/U_IOPAD:E,
led_o_obuf[7]/U_IOPAD:PAD,
counter[29]:ALn,
counter[29]:CLK,18208
counter[29]:D,17639
counter[29]:Q,18208
counter_s_1_CC_1:CC[0],17850
counter_s_1_CC_1:CC[10],17720
counter_s_1_CC_1:CC[11],17690
counter_s_1_CC_1:CC[1],17804
counter_s_1_CC_1:CC[2],17770
counter_s_1_CC_1:CC[3],17823
counter_s_1_CC_1:CC[4],17772
counter_s_1_CC_1:CC[5],17743
counter_s_1_CC_1:CC[6],17799
counter_s_1_CC_1:CC[7],17751
counter_s_1_CC_1:CC[8],17717
counter_s_1_CC_1:CC[9],17774
counter_s_1_CC_1:CI,17639
counter_s_1_CC_1:CO,17639
counter_s_1_CC_1:P[0],17806
counter_s_1_CC_1:P[10],17893
counter_s_1_CC_1:P[11],17941
counter_s_1_CC_1:P[1],17743
counter_s_1_CC_1:P[2],17828
counter_s_1_CC_1:P[3],17876
counter_s_1_CC_1:P[4],17816
counter_s_1_CC_1:P[5],17894
counter_s_1_CC_1:P[6],17864
counter_s_1_CC_1:P[7],17833
counter_s_1_CC_1:P[8],17887
counter_s_1_CC_1:P[9],17936
counter_s_1_CC_1:Y3A[0],
counter_s_1_CC_1:Y3A[10],
counter_s_1_CC_1:Y3A[11],
counter_s_1_CC_1:Y3A[1],
counter_s_1_CC_1:Y3A[2],
counter_s_1_CC_1:Y3A[3],
counter_s_1_CC_1:Y3A[4],
counter_s_1_CC_1:Y3A[5],
counter_s_1_CC_1:Y3A[6],
counter_s_1_CC_1:Y3A[7],
counter_s_1_CC_1:Y3A[8],
counter_s_1_CC_1:Y3A[9],
counter_s_1_CC_1:Y3[0],
counter_s_1_CC_1:Y3[10],
counter_s_1_CC_1:Y3[11],
counter_s_1_CC_1:Y3[1],
counter_s_1_CC_1:Y3[2],
counter_s_1_CC_1:Y3[3],
counter_s_1_CC_1:Y3[4],
counter_s_1_CC_1:Y3[5],
counter_s_1_CC_1:Y3[6],
counter_s_1_CC_1:Y3[7],
counter_s_1_CC_1:Y3[8],
counter_s_1_CC_1:Y3[9],
counter_cry[11]:B,17843
counter_cry[11]:CC,17793
counter_cry[11]:P,17843
counter_cry[11]:S,17793
counter_cry[11]:Y3,
counter_cry[11]:Y3A,
counter_cry[7]:B,17729
counter_cry[7]:CC,17854
counter_cry[7]:P,17729
counter_cry[7]:S,17854
counter_cry[7]:Y3,
counter_cry[7]:Y3A,
led_o_obuf[1]/U_IOPAD:D,
led_o_obuf[1]/U_IOPAD:E,
